Frame,clavicle_out_l_RelLoc_X,clavicle_out_l_RelLoc_Y,clavicle_out_l_RelLoc_Z,clavicle_out_r_RelLoc_X,clavicle_out_r_RelLoc_Y,clavicle_out_r_RelLoc_Z,thigh_out_l_RelLoc_X,thigh_out_l_RelLoc_Y,thigh_out_l_RelLoc_Z,thigh_out_r_RelLoc_X,thigh_out_r_RelLoc_Y,thigh_out_r_RelLoc_Z,calf_knee_l_RelLoc_X,calf_knee_l_RelLoc_Y,calf_knee_l_RelLoc_Z,calf_knee_r_RelLoc_X,calf_knee_r_RelLoc_Y,calf_knee_r_RelLoc_Z,state,angle_left_deg,angle_right_deg
81,9.057281494,-12.51786327,-7.022297382,-15.30052853,-7.880759239,0.589299202,15.87710094,45.00938797,-1.533564925,-6.846009254,48.74610138,1.759785414,44.26613998,49.88113403,-47.23694229,-24.70652771,45.94734192,-49.49200821,stand up,73.50168911,107.3975416
82,8.577825546,-12.62946129,-7.573330402,-15.15813732,-8.890112877,0.849640369,15.70009041,45.63082504,1.210790873,-7.19732666,49.28674698,3.408563137,45.27821732,49.54562378,-43.82078171,-23.68298721,43.80538559,-47.89507294,stand up,75.49069462,116.1834409
83,8.094162941,-12.67920303,-8.145997047,-14.86886406,-10.00323772,1.440823078,15.38970757,46.12306976,3.981077671,-7.623974323,49.75056458,5.021059513,46.10308456,49.06505203,-40.33362579,-22.65739059,41.68729019,-46.12001038,stand up,77.45593451,125.1203062
84,7.553277016,-12.8491087,-8.668557167,-14.41300488,-11.08039856,1.835012436,14.71058083,46.49717712,6.184235096,-8.322511673,50.30966568,6.02929306,46.72124863,48.80108261,-37.20183563,-21.33930588,40.20550156,-45.03714371,stand up,79.00655094,133.4858261
85,7.006171227,-12.9452076,-9.207120895,-14.01129913,-11.85796452,1.800462604,13.91520214,46.79409409,8.368480682,-9.017654419,50.80062103,6.979542732,47.19238281,48.4449501,-34.00187683,-20.18572426,38.7803421,-43.79899979,stand up,80.56280681,141.6613839
86,7.072141171,-13.05533218,-9.159887314,-13.86454964,-12.23723698,1.196250319,13.20718193,47.14785767,9.518623352,-9.357422829,51.24527359,6.84145689,48.23809814,47.54399109,-31.33199501,-19.33251953,37.51174927,-43.65267181,stand up,83.5334476,148.0689671
87,7.498486996,-13.23113155,-8.656629562,-13.78176785,-12.46381474,0.329819322,12.42659473,47.74472046,9.822050095,-9.614574432,51.58428955,5.786517143,49.56192398,45.70406723,-29.07449532,-18.52950478,36.33936691,-44.43597031,stand up,88.5247041,153.404362
88,8.087471008,-13.44226456,-7.846686363,-13.52641392,-12.78763103,-0.580632687,11.36077023,48.70142365,9.349998474,-10.13463306,51.76802826,3.947624683,50.83782196,42.55853271,-26.87153244,-17.52629471,35.16146088,-46.05925751,stand up,95.82951314,159.0135059
89,8.764537811,-13.64800072,-6.847697258,-12.98631096,-13.28448677,-1.461163163,9.967037201,49.9997406,8.233660698,-11.08250332,51.79962921,1.570296288,51.48544312,38.072155,-24.37247658,-16.27082443,33.79413605,-48.15595627,stand up,104.946164,165.6010607
90,9.534786224,-13.82188606,-5.652725697,-12.18962955,-13.85726166,-2.347692966,8.495597839,51.46760941,6.523877144,-12.26762867,51.69657516,-1.097768545,50.99968719,32.67362976,-21.57004166,-15.1420536,32.20206833,-50.30939484,stand up,114.7653946,171.5441189
91,10.35644054,-13.8995533,-4.26838398,-11.21269035,-14.38806534,-3.278383732,7.342548847,52.86461258,4.201555252,-13.32097816,51.46068192,-3.863892078,49.28578186,26.94548988,-18.80012512,-14.56791306,30.52519035,-52.37778854,stand up,124.2990022,174.7576237
